year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp
1982,1,107.1,10,5.6,23.3
1982,2,27.8,5,7.6,23.9
1982,3,160.8,11,5.1,24.3
1982,4,157.0,14,4.7,24.3
1982,5,102.2,10,5.8,25.2
1982,6,59.5,8,7.3,26.0
1982,7,76.3,8,7.6,25.5
1982,8,169.5,11,5.4,25.0
1982,9,54.1,9,5.2,25.3
1982,10,39.3,10,5.6,24.3
1982,11,134.0,13,5.8,24.5
1982,12,494.1,21,3.3,23.9
1983,1,246.0,18,4.3,24.0
1983,2,5.6,2,9.3,24.8
1983,3,18.6,2,8.9,25.4
1983,4,33.6,4,6.6,26.3
1983,5,160.8,11,5.9,25.2
1983,6,94.0,11,5.9,25.3
1983,7,190.0,18,5.4,24.9
1983,8,262.2,10,6.3,25.6
1983,9,170.8,18,3.8,24.6
1983,10,212.7,17,5.2,24.7
1983,11,228.8,18,3.2,24.0
1983,12,370.6,16,2.7,23.3
1984,1,251.2,18,4.1,22.9
1984,2,470.4,19,4.1,23.4
1984,3,361.3,19,5.3,23.8
1984,4,153.1,17,6.2,24.5
1984,5,186.5,12,6.4,24.5
1984,6,255.0,14,5.4,24.7
1984,7,127.2,12,5.7,24.7
1984,8,102.7,13,6.0,24.3
1984,9,186.7,17,4.9,23.7
1984,10,187.5,11,5.3,24.3
1984,11,127.7,17,4.3,24.0
1984,12,277.4,22,3.3,23.6
1985,1,111.1,7,8.7,23.6
1985,2,79.3,11,6.5,24.1
1985,3,88.0,13,5.6,24.2
1985,4,110.5,14,5.5,24.4
1985,5,70.1,12,5.7,25.2
1985,6,37.0,14,5.8,25.1
1985,7,131.8,17,5.3,23.9
1985,8,56.9,11,6.2,25.1
1985,9,110.7,18,5.0,24.0
1985,10,169.0,21,4.1,23.9
1985,11,179.4,21,4.1,23.8
1985,12,340.1,22,4.6,23.7
1986,1,308.2,13,3.9,23.4
1986,2,26.7,2,7.2,23.9
1986,3,353.4,17,4.6,24.1
1986,4,150.0,14,6.2,24.7
1986,5,145.1,13,6.1,25.4
1986,6,122.9,13,6.8,25.3
1986,7,109.7,12,6.2,25.0
1986,8,72.9,11,5.6,25.2
1986,9,396.0,22,4.8,23.6
1986,10,227.3,20,5.0,24.3
1986,11,256.7,21,4.5,24.1
1986,12,367.2,16,5.4,23.9
1987,1,568.6,16,4.0,23.4
1987,2,86.9,7,9.2,23.7
1987,3,132.5,12,6.9,24.8
1987,4,72.5,10,6.2,25.1
1987,5,270.0,16,5.6,25.0
1987,6,126.6,15,6.8,26.0
1987,7,80.9,11,6.7,25.4
1987,8,191.9,16,5.1,25.0
1987,9,129.9,11,5.4,24.6
1987,10,22.6,9,5.8,25.2
1987,11,347.6,17,4.5,24.3
1987,12,72.8,11,4.8,24.2
1988,1,237.5,15,5.9,24.5
1988,2,158.1,9,6.7,24.6
1988,3,186.8,15,5.2,24.8
1988,4,109.6,13,5.4,25.2
1988,5,229.6,14,5.6,25.8
1988,6,252.2,13,6.5,24.9
1988,7,305.4,15,6.0,24.6
1988,8,80.1,14,4.9,24.5
1988,9,440.4,14,4.8,24.5
1988,10,134.6,17,4.1,24.5
1988,11,401.4,23,3.7,23.7
1988,12,62.9,11,5.7,23.9
1989,1,189.7,10,5.8,23.9
1989,2,52.4,3,6.7,23.7
1989,3,305.9,21,4.5,23.9
1989,4,198.6,17,5.7,24.0
1989,5,194.0,12,5.2,24.5
1989,6,117.6,12,6.0,24.4
1989,7,157.6,12,6.0,24.9
1989,8,201.0,18,5.3,23.9
1989,9,247.3,14,5.5,24.1
1989,10,111.0,16,5.5,24.2
1989,11,508.4,20,5.4,24.0
1989,12,179.7,18,4.8,23.9
1990,1,147.4,13,5.3,23.7
1990,2,24.1,8,8.9,24.9
1990,3,94.2,4,8.3,25.0
1990,4,52.4,10,6.3,25.3
1990,5,180.1,11,6.5,25.6
1990,6,112.6,9,6.3,25.4
1990,7,124.0,12,5.9,24.6
1990,8,146.6,13,5.8,25.1
1990,9,204.5,17,5.1,24.2
