year,month,total_rainfall,rainy_days,sunshine_hrs,air_temp,visitor_arrivals
1970,1,107.1,10,5.6,23.3,239088
1970,1,27.8,5,7.6,23.9,225008
1970,1,160.8,11,5.1,24.3,235113
1970,1,157.0,14,4.7,24.3,225827
1970,1,102.2,10,5.8,25.2,232737
1970,1,59.5,8,7.3,26.0,243955
1970,1,76.3,8,7.6,25.5,277968
1970,1,169.5,11,5.4,25.0,281354
1970,1,54.1,9,5.2,25.3,232006
1970,1,39.3,10,5.6,24.3,251613
1970,1,134.0,13,5.8,24.5,257389
1970,1,494.1,21,3.3,23.9,254632
1970,1,246.0,18,4.3,24.0,232164
1970,1,5.6,2,9.3,24.8,212591
1970,1,18.6,2,8.9,25.4,242272
1970,1,33.6,4,6.6,26.3,226610
1970,1,160.8,11,5.9,25.2,236720
1970,1,94.0,11,5.9,25.3,227843
1970,1,190.0,18,5.4,24.9,249891
1970,1,262.2,10,6.3,25.6,263236
1970,1,170.8,18,3.8,24.6,230076
1970,1,212.7,17,5.2,24.7,240012
1970,1,228.8,18,3.2,24.0,237223
1970,1,370.6,16,2.7,23.3,254939
1970,1,251.2,18,4.1,22.9,233863
1970,1,470.4,19,4.1,23.4,221968
1970,1,361.3,19,5.3,23.8,239414
1970,1,153.1,17,6.2,24.5,245480
1970,1,186.5,12,6.4,24.5,248953
1970,1,255.0,14,5.4,24.7,240184
1970,1,127.2,12,5.7,24.7,261402
1970,1,102.7,13,6.0,24.3,282186
1970,1,186.7,17,4.9,23.7,239438
1970,1,187.5,11,5.3,24.3,257737
1970,1,127.7,17,4.3,24.0,248137
1970,1,277.4,22,3.3,23.6,272668
1970,1,111.1,7,8.7,23.6,248446
1970,1,79.3,11,6.5,24.1,230830
1970,1,88.0,13,5.6,24.2,262117
1970,1,110.5,14,5.5,24.4,237011
1970,1,70.1,12,5.7,25.2,244179
1970,1,37.0,14,5.8,25.1,247225
1970,1,131.8,17,5.3,23.9,264253
1970,1,56.9,11,6.2,25.1,279252
1970,1,110.7,18,5.0,24.0,240007
1970,1,169.0,21,4.1,23.9,249802
1970,1,179.4,21,4.1,23.8,250465
1970,1,340.1,22,4.6,23.7,277383
1970,1,308.2,13,3.9,23.4,262351
1970,1,26.7,2,7.2,23.9,236979
1970,1,353.4,17,4.6,24.1,260497
1970,1,150.0,14,6.2,24.7,245614
1970,1,145.1,13,6.1,25.4,248171
1970,1,122.9,13,6.8,25.3,257252
1970,1,109.7,12,6.2,25.0,275976
1970,1,72.9,11,5.6,25.2,304666
1970,1,396.0,22,4.8,23.6,259582
1970,1,227.3,20,5.0,24.3,275773
1970,1,256.7,21,4.5,24.1,266980
1970,1,367.2,16,5.4,23.9,297217
1970,1,568.6,16,4.0,23.4,284588
1970,1,86.9,7,9.2,23.7,273405
1970,1,132.5,12,6.9,24.8,293774
1970,1,72.5,10,6.2,25.1,287663
1970,1,270.0,16,5.6,25.0,291469
1970,1,126.6,15,6.8,26.0,283828
1970,1,80.9,11,6.7,25.4,342882
1970,1,191.9,16,5.1,25.0,353788
1970,1,129.9,11,5.4,24.6,302983
1970,1,22.6,9,5.8,25.2,315112
1970,1,347.6,17,4.5,24.3,307067
1970,1,72.8,11,4.8,24.2,342250
1970,1,237.5,15,5.9,24.5,328447
1970,1,158.1,9,6.7,24.6,312406
1970,1,186.8,15,5.2,24.8,347373
1970,1,109.6,13,5.4,25.2,331647
1970,1,229.6,14,5.6,25.8,318454
1970,1,252.2,13,6.5,24.9,319362
1970,1,305.4,15,6.0,24.6,377985
1970,1,80.1,14,4.9,24.5,388077
1970,1,440.4,14,4.8,24.5,341254
1970,1,134.6,17,4.1,24.5,365581
1970,1,401.4,23,3.7,23.7,361734
1970,1,62.9,11,5.7,23.9,393771
1970,1,189.7,10,5.8,23.9,380096
1970,1,52.4,3,6.7,23.7,353789
1970,1,305.9,21,4.5,23.9,404795
1970,1,198.6,17,5.7,24.0,375679
1970,1,194.0,12,5.2,24.5,362982
1970,1,117.6,12,6.0,24.4,367275
1970,1,157.6,12,6.0,24.9,435972
1970,1,201.0,18,5.3,23.9,443375
1970,1,247.3,14,5.5,24.1,406340
1970,1,111.0,16,5.5,24.2,423336
1970,1,508.4,20,5.4,24.0,425918
1970,1,179.7,18,4.8,23.9,450000
1970,1,147.4,13,5.3,23.7,432993
1970,1,24.1,8,8.9,24.9,424670
1970,1,94.2,4,8.3,25.0,445528
1970,1,52.4,10,6.3,25.3,430272
1970,1,180.1,11,6.5,25.6,409797
1970,1,112.6,9,6.3,25.4,409635
1970,1,124.0,12,5.9,24.6,474861
1970,1,146.6,13,5.8,25.1,492544
1970,1,204.5,17,5.1,24.2,427523
1970,1,56.4,12,5.9,24.9,435281
1970,1,180.4,17,4.6,24.7,448573
1970,1,201.1,16,5.5,24.1,488768
1970,1,123.9,13,5.6,24.2,432267
1970,1,45.5,7,7.0,24.1,363536
1970,1,92.4,10,7.1,24.7,403287
